no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,arrival_year,arrival_month,booking_status
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,2,1,0,0,0,26,2017,10,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,2,1,0,0,0,26,2017,10,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,2,1,0,0,0,26,2017,10,1
2,1,2,1,0,0,0,26,2017,10,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,2,1,0,0,0,26,2017,10,1
2,1,2,1,0,0,0,26,2017,10,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,2,1,0,0,0,26,2017,10,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,2,1,0,0,0,26,2017,10,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,2,1,0,0,0,26,2017,10,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,2,1,0,0,0,26,2017,10,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,2,1,0,0,0,26,2017,10,1
2,1,2,1,0,0,0,26,2017,10,1
2,1,2,1,0,0,0,26,2017,10,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,2,1,0,0,0,26,2017,10,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,2,1,0,0,0,26,2017,10,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,2,1,0,0,0,26,2017,10,1
2,1,2,1,0,0,0,26,2017,10,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,2,1,0,0,0,26,2017,10,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,2,1,0,0,0,26,2017,10,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,2,1,0,0,0,26,2017,10,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,2,1,0,0,0,26,2017,10,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,2,1,0,0,0,26,2017,10,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,2,1,0,0,0,26,2017,10,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,2,1,0,0,0,26,2017,10,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,2,1,0,0,0,26,2017,10,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,2,1,0,0,0,26,2017,10,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,2,1,0,0,0,26,2017,10,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,2,1,0,0,0,26,2017,10,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,2,1,0,0,0,26,2017,10,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,2,1,0,0,0,26,2017,10,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,2,1,0,0,0,26,2017,10,1
2,1,2,1,0,0,0,26,2017,10,1
2,1,2,1,0,0,0,26,2017,10,1
2,1,2,1,0,0,0,26,2017,10,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,2,1,0,0,0,26,2017,10,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,2,1,0,0,0,26,2017,10,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,2,1,0,0,0,26,2017,10,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,2,1,0,0,0,26,2017,10,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,2,1,0,0,0,26,2017,10,1
2,1,2,1,0,0,0,26,2017,10,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,2,1,0,0,0,26,2017,10,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,2,1,0,0,0,26,2017,10,1
2,1,2,1,0,0,0,26,2017,10,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,2,1,0,0,0,26,2017,10,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,2,1,0,0,0,26,2017,10,1
2,1,2,1,0,0,0,26,2017,10,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,2,1,0,0,0,26,2017,10,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,2,1,0,0,0,26,2017,10,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,2,1,0,0,0,26,2017,10,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,2,1,0,0,0,26,2017,10,1
2,1,2,1,0,0,0,26,2017,10,1
2,1,2,1,0,0,0,26,2017,10,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,2,1,0,0,0,26,2017,10,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,2,1,0,0,0,26,2017,10,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,2,1,0,0,0,26,2017,10,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,2,1,0,0,0,26,2017,10,1
2,1,2,1,0,0,0,26,2017,10,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,2,1,0,0,0,26,2017,10,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,2,1,0,0,0,26,2017,10,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,2,1,0,0,0,26,2017,10,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,2,1,0,0,0,26,2017,10,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,2,1,0,0,0,26,2017,10,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,2,1,0,0,0,26,2017,10,1
2,1,2,1,0,0,0,26,2017,10,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,2,1,0,0,0,26,2017,10,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,2,1,0,0,0,26,2017,10,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,2,1,0,0,0,26,2017,10,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,2,1,0,0,0,26,2017,10,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,2,1,0,0,0,26,2017,10,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,2,1,0,0,0,26,2017,10,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,2,1,0,0,0,26,2017,10,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,2,1,0,0,0,26,2017,10,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,2,1,0,0,0,26,2017,10,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,2,1,0,0,0,26,2017,10,1
2,1,2,1,0,0,0,26,2017,10,1
2,1,2,1,0,0,0,26,2017,10,1
2,1,2,1,0,0,0,26,2017,10,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,2,1,0,0,0,26,2017,10,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,2,1,0,0,0,26,2017,10,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,2,1,0,0,0,26,2017,10,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,2,1,0,0,0,26,2017,10,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,2,1,0,0,0,26,2017,10,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,2,1,0,0,0,26,2017,10,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,2,1,0,0,0,26,2017,10,1
2,1,2,1,0,0,0,26,2017,10,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,2,1,0,0,0,26,2017,10,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,2,1,0,0,0,26,2017,10,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,2,1,0,0,0,26,2017,10,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,2,1,0,0,0,26,2017,10,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,2,1,0,0,0,26,2017,10,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,2,1,0,0,0,26,2017,10,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,2,1,0,0,0,26,2017,10,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,2,1,0,0,0,26,2017,10,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,2,1,0,0,0,26,2017,10,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,2,1,0,0,0,26,2017,10,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,2,1,0,0,0,26,2017,10,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,2,1,0,0,0,26,2017,10,1
2,1,2,1,0,0,0,26,2017,10,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,2,1,0,0,0,26,2017,10,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,2,1,0,0,0,26,2017,10,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,2,1,0,0,0,26,2017,10,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,2,1,0,0,0,26,2017,10,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,2,1,0,0,0,26,2017,10,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,2,1,0,0,0,26,2017,10,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,2,1,0,0,0,26,2017,10,1
2,1,2,1,0,0,0,26,2017,10,1
2,1,2,1,0,0,0,26,2017,10,1
2,1,2,1,0,0,0,26,2017,10,1
2,1,2,1,0,0,0,26,2017,10,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,2,1,0,0,0,26,2017,10,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,2,1,0,0,0,26,2017,10,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,2,1,0,0,0,26,2017,10,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,2,1,0,0,0,26,2017,10,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,2,1,0,0,0,26,2017,10,1
2,1,2,1,0,0,0,26,2017,10,1
2,1,2,1,0,0,0,26,2017,10,1
2,1,2,1,0,0,0,26,2017,10,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,2,1,0,0,0,26,2017,10,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,2,1,0,0,0,26,2017,10,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,2,1,0,0,0,26,2017,10,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,2,1,0,0,0,26,2017,10,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,2,1,0,0,0,26,2017,10,1
2,1,2,1,0,0,0,26,2017,10,1
2,1,2,1,0,0,0,26,2017,10,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,2,1,0,0,0,26,2017,10,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,2,1,0,0,0,26,2017,10,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,2,1,0,0,0,26,2017,10,1
2,1,2,1,0,0,0,26,2017,10,1
2,1,2,1,0,0,0,26,2017,10,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,2,1,0,0,0,26,2017,10,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,2,1,0,0,0,26,2017,10,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,2,1,0,0,0,26,2017,10,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,2,1,0,0,0,26,2017,10,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,2,1,0,0,0,26,2017,10,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,2,1,0,0,0,26,2017,10,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,2,1,0,0,0,26,2017,10,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,2,1,0,0,0,26,2017,10,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,2,1,0,0,0,26,2017,10,1
2,1,2,1,0,0,0,26,2017,10,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,2,1,0,0,0,26,2017,10,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,2,1,0,0,0,26,2017,10,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,2,1,0,0,0,26,2017,10,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,2,1,0,0,0,26,2017,10,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,2,1,0,0,0,26,2017,10,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,2,1,0,0,0,26,2017,10,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,2,1,0,0,0,26,2017,10,1
2,1,2,1,0,0,0,26,2017,10,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,2,1,0,0,0,26,2017,10,1
2,1,2,1,0,0,0,26,2017,10,1
2,1,2,1,0,0,0,26,2017,10,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,2,1,0,0,0,26,2017,10,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,2,1,0,0,0,26,2017,10,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,2,1,0,0,0,26,2017,10,1
2,1,2,1,0,0,0,26,2017,10,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,2,1,0,0,0,26,2017,10,1
2,1,2,1,0,0,0,26,2017,10,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,2,1,0,0,0,26,2017,10,1
2,1,2,1,0,0,0,26,2017,10,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,2,1,0,0,0,26,2017,10,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,2,1,0,0,0,26,2017,10,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,2,1,0,0,0,26,2017,10,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,2,1,0,0,0,26,2017,10,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,2,1,0,0,0,26,2017,10,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,2,1,0,0,0,26,2017,10,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,2,1,0,0,0,26,2017,10,1
2,1,2,1,0,0,0,26,2017,10,1
2,1,2,1,0,0,0,26,2017,10,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,2,1,0,0,0,26,2017,10,1
2,1,2,1,0,0,0,26,2017,10,1
2,1,2,1,0,0,0,26,2017,10,1
2,1,2,1,0,0,0,26,2017,10,1
2,1,1,1,0,0,0,98,2018,7,1
2,1,1,1,0,0,0,98,2018,7,1
